occupation_id,title,human_constraint_target,human_constraint_confidence,adoption_context_target,adoption_context_confidence,demand_context_target,demand_context_confidence,wage_leverage_target,wage_leverage_confidence,routine_pressure_target,routine_pressure_confidence,specialization_resilience_target,specialization_resilience_confidence,role_heterogeneity_target,role_heterogeneity_confidence,model_human_guardrail,model_adoption_context,model_demand_context,model_wage_leverage,model_routine_pressure,model_specialization_resilience,model_role_fragmentation,human_constraint_gap,adoption_context_gap,demand_context_gap,wage_leverage_gap,routine_pressure_gap,specialization_resilience_gap,role_heterogeneity_gap,human_constraint_review,adoption_context_review,demand_context_review,wage_leverage_review,routine_pressure_review,specialization_resilience_review,role_heterogeneity_review,quality_source_mix,ors_source_mix,heterogeneity_source_mix,btos_source_mix,adaptation_source_mix,labor_release_year,highest_review_tier,primary_review_layer,primary_review_strength,primary_review_score,primary_review_reason,notes
occ_13_2051_00,Financial and Investment Analysts,0.381,0.678,0.332,0.864,0.494,0.85,0.705,0.85,0.24,0.66,0.67,0.66,0.337,0.848,0.658,0.408,0.523,0.575,0.315,0.612,0.193,0.277,0.075,0.029,0.13,0.074,0.058,0.144,medium,ok,ok,low,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.216,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.943|btos_percentile=0.419|derived_launch_aggregate|knowledge_share=0.68|people_share=0.24|routine_share=0.08|labor_context_2024
occ_15_1211_00,Computer Systems Analysts,0.328,0.721,0.346,0.866,0.652,0.85,0.735,0.85,0.339,0.65,0.584,0.65,0.345,0.845,0.583,0.43,0.484,0.532,0.36,0.578,0.256,0.255,0.084,0.168,0.203,0.022,0.006,0.089,high,ok,low,medium,ok,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.211,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.947|btos_percentile=0.484|derived_launch_aggregate|knowledge_share=0.63|people_share=0.16|routine_share=0.13|labor_context_2024
occ_15_1252_00,Software Developers,0.389,0.721,0.425,0.882,0.733,0.85,0.795,0.85,0.253,0.6,0.738,0.6,0.342,0.827,0.553,0.446,0.591,0.452,0.41,0.53,0.356,0.164,0.022,0.142,0.343,0.158,0.207,0.014,low,ok,low,high,low,medium,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,bargaining_power,weak,0.175,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.970|btos_percentile=0.839|derived_launch_aggregate|knowledge_share=0.87|people_share=0.06|routine_share=0.07|labor_context_2024
occ_15_1254_00,Web Developers,,0,0.417,0.876,0.626,0.85,0.682,0.85,0.306,0.71,0.637,0.71,0.38,0.821,0.568,0.44,0.498,0.529,0.361,0.569,0.242,,0.022,0.128,0.153,0.055,0.068,0.138,ok,ok,low,low,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,role_shape_heterogeneity,medium,0.113,"Role-heterogeneity mismatch points to occupation shape assumptions, missing multi-anchor variants, or overstated uniformity within the occupation.",launch_stub_generated|btos_covered_share=0.962|btos_percentile=0.806|derived_launch_aggregate|knowledge_share=0.85|people_share=0.03|routine_share=0.04|labor_context_2024
occ_15_2031_00,Operations Research Analysts,,0,0.368,0.703,0.823,0.85,0.659,0.85,0.16,0.6,0.738,0.6,0.363,0.827,0.599,0.4,0.627,0.602,0.277,0.613,0.201,,0.032,0.196,0.057,0.117,0.125,0.162,ok,ok,medium,ok,ok,low,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,role_shape_heterogeneity,medium,0.134,"Role-heterogeneity mismatch points to occupation shape assumptions, missing multi-anchor variants, or overstated uniformity within the occupation.",launch_stub_generated|btos_covered_share=0.500|btos_percentile=0.581|derived_launch_aggregate|knowledge_share=0.68|people_share=0.08|routine_share=0.00|labor_context_2024
occ_15_2051_00,Data Scientists,,0,,0,0.894,0.85,0.879,0.85,0.219,0.52,0.775,0.52,0.33,0.409,0.572,0.435,0.7,0.532,0.389,0.57,0.237,,,0.194,0.347,0.17,0.205,0.093,ok,ok,medium,high,low,medium,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,,src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,bargaining_power,weak,0.177,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|derived_launch_aggregate|knowledge_share=0.94|people_share=0.00|routine_share=0.00|labor_context_2024
occ_17_2072_00,"Electronics Engineers, Except Computer",,0,0.318,0.847,0.574,0.85,0.788,0.85,0.217,0.7,0.642,0.7,0.311,0.862,0.647,0.422,0.513,0.584,0.322,0.616,0.212,,0.104,0.061,0.204,0.105,0.026,0.099,ok,ok,ok,medium,ok,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,bargaining_power,weak,0.104,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.946|btos_percentile=0.355|derived_launch_aggregate|knowledge_share=0.53|people_share=0.29|routine_share=0.05|labor_context_2024
occ_17_2141_00,Mechanical Engineers,0.359,0.636,0.24,0.879,0.673,0.85,0.667,0.85,0.348,0.53,0.65,0.53,0.33,0.803,0.66,0.4,0.504,0.617,0.314,0.637,0.195,0.301,0.16,0.169,0.05,0.034,0.013,0.135,medium,low,low,ok,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.22,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.971|btos_percentile=0.000|derived_launch_aggregate|knowledge_share=0.70|people_share=0.07|routine_share=0.23|labor_context_2024
occ_23_1011_00,Lawyers,0.571,0.763,,0,0.457,0.85,0.977,0.85,0.245,0.61,0.65,0.61,0.268,0.441,0.81,0.38,0.498,0.732,0.261,0.735,0.138,0.239,,0.041,0.245,0.016,0.085,0.13,high,ok,ok,high,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.21,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|derived_launch_aggregate|knowledge_share=0.34|people_share=0.39|routine_share=0.23|labor_context_2024
occ_23_2011_00,Paralegals and Legal Assistants,0.33,0.763,0.439,0.864,0.518,0.85,0.197,0.85,0.465,0.55,0.443,0.55,0.284,0.81,0.636,0.432,0.396,0.462,0.384,0.547,0.287,0.306,0.007,0.122,0.265,0.081,0.103,0.003,high,ok,low,high,ok,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.268,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.905|btos_percentile=0.903|derived_launch_aggregate|knowledge_share=0.28|people_share=0.25|routine_share=0.36|labor_context_2024
